heure;latitude;longitude;altitude;cardio
08:02:37;46.159008;-1.148822;5.8;45
08:02:38;46.159008;-1.148842;5.8;43
08:02:40;46.159008;-1.148893;5.9;42
08:02:41;46.159005;-1.148925;6.0;49
08:02:42;46.158997;-1.148963;6.1;61
08:02:43;46.158993;-1.148995;6.1;66
08:02:44;46.158993;-1.149023;6.2;84
08:02:45;46.158985;-1.14906;6.3;102
08:02:46;46.158973;-1.1491;6.3;138
08:02:48;46.15897;-1.14917;6.5;147
08:02:51;46.158962;-1.149233;6.7;152
08:02:55;46.158917;-1.14934;7.0;156
08:02:59;46.15889;-1.149468;7.4;157
08:03:03;46.158848;-1.149578;7.7;161
08:03:07;46.158813;-1.149703;8.0;165
08:03:12;46.158752;-1.149828;8.2;167
08:03:17;46.158695;-1.149957;8.4;168
08:03:18;46.158688;-1.14998;8.4;169
08:03:22;46.158638;-1.150072;8.3;171
08:03:27;46.15857;-1.1502;7.9;170
08:03:33;46.158493;-1.150353;7.3;171
08:03:38;46.158435;-1.150475;6.8;172
08:03:43;46.158402;-1.150613;6.2;169
08:03:46;46.158352;-1.150685;5.6;169
08:03:49;46.158298;-1.150748;5.2;169
08:03:55;46.15823;-1.15088;4.8;168
08:04:00;46.158153;-1.150973;4.8;168
08:04:04;46.158108;-1.151065;4.7;168
08:04:08;46.158112;-1.151175;4.9;167
08:04:14;46.158115;-1.151292;5.0;167
08:04:21;46.15813;-1.151403;5.2;167
08:04:30;46.158138;-1.151565;5.5;167
08:04:35;46.15813;-1.151682;5.5;166
08:04:36;46.158127;-1.1517;5.5;166
08:04:39;46.158123;-1.15175;5.5;161
08:04:41;46.158123;-1.151793;5.5;148
08:04:44;46.158115;-1.151853;5.5;126
08:04:45;46.158115;-1.151877;5.5;127
08:04:46;46.158115;-1.1519;5.5;136
08:04:47;46.15812;-1.151928;5.5;138
08:04:51;46.158138;-1.15205;5.7;154
08:04:52;46.158147;-1.152083;5.8;154
08:04:54;46.15815;-1.152133;5.9;154
08:04:59;46.158162;-1.152278;6.0;160
08:05:00;46.158157;-1.152302;6.0;161
08:05:05;46.158153;-1.152443;6.0;165
08:05:11;46.158157;-1.152588;6.3;167
08:05:12;46.158157;-1.15261;6.3;166
08:05:18;46.158153;-1.152767;6.7;165
08:05:24;46.158115;-1.152942;6.7;167
08:05:28;46.1581;-1.153062;6.9;171
08:05:34;46.158073;-1.15325;7.2;169
08:05:36;46.158065;-1.153312;7.3;168
08:05:42;46.158055;-1.153505;7.9;171
08:05:48;46.158038;-1.15371;8.6;170
08:05:53;46.158032;-1.153875;9.2;171
08:05:59;46.157948;-1.154032;9.5;170
08:06:02;46.157928;-1.154118;9.8;169
08:06:07;46.157925;-1.154287;10.0;169
08:06:11;46.157883;-1.154417;10.0;170
08:06:15;46.15784;-1.154552;10.0;169
08:06:16;46.157833;-1.154577;10.0;169
08:06:22;46.157807;-1.154765;10.1;168
08:06:25;46.157798;-1.154858;10.2;168
08:06:30;46.15781;-1.155033;10.2;166
08:06:34;46.157818;-1.155162;10.0;167
08:06:41;46.157867;-1.1554;9.6;168
08:06:43;46.157878;-1.155462;9.5;168
08:06:48;46.157925;-1.155607;9.3;167
08:06:53;46.157975;-1.155775;9.1;166
08:06:59;46.158043;-1.155962;8.8;167
08:07:04;46.158092;-1.156098;8.7;167
08:07:06;46.158112;-1.156163;8.6;168
08:07:10;46.158135;-1.156288;8.5;168
08:07:15;46.15818;-1.156455;8.3;168
08:07:19;46.158237;-1.156592;8.1;168
08:07:24;46.158272;-1.15676;7.9;167
08:07:28;46.158292;-1.1569;7.7;167
08:07:33;46.158313;-1.157068;7.5;167
08:07:37;46.158325;-1.157203;7.4;167
08:07:41;46.158352;-1.157352;7.2;167
08:07:45;46.158372;-1.157475;7.0;166
08:07:50;46.158405;-1.157625;6.6;165
08:07:56;46.158428;-1.157812;6.1;167
08:08:00;46.158463;-1.157965;5.7;168
08:08:06;46.158493;-1.158172;5.2;168
08:08:11;46.15852;-1.158318;4.8;168
08:08:15;46.158547;-1.158448;4.7;169
08:08:20;46.15857;-1.158602;4.7;168
08:08:25;46.158592;-1.15879;4.7;167
08:08:29;46.158607;-1.158928;4.7;167
08:08:33;46.158627;-1.159073;4.6;166
08:08:34;46.158627;-1.159108;4.6;166
08:08:38;46.15865;-1.159268;4.5;167
08:08:44;46.158692;-1.159472;4.2;168
08:08:49;46.158715;-1.159645;3.9;168
08:08:54;46.158745;-1.15981;3.7;168
08:08:58;46.158778;-1.159953;3.6;166
08:09:02;46.158813;-1.16008;3.6;166
08:09:06;46.158837;-1.160218;3.8;166
08:09:11;46.158875;-1.160393;4.0;166
08:09:16;46.158893;-1.16057;4.1;166
08:09:21;46.158908;-1.160745;4.3;167
08:09:26;46.15894;-1.160918;4.5;167
08:09:31;46.158967;-1.1611;4.5;167
08:09:35;46.158982;-1.161237;4.6;166
